,element,name,team_name,position_name,round,total_points
0,1,Mesut Özil,Arsenal,Midfielder,1,0
1,1,Mesut Özil,Arsenal,Midfielder,2,0
2,1,Mesut Özil,Arsenal,Midfielder,3,0
3,1,Mesut Özil,Arsenal,Midfielder,4,0
4,1,Mesut Özil,Arsenal,Midfielder,5,0
5,1,Mesut Özil,Arsenal,Midfielder,6,0
6,1,Mesut Özil,Arsenal,Midfielder,7,0
7,1,Mesut Özil,Arsenal,Midfielder,8,0
8,1,Mesut Özil,Arsenal,Midfielder,9,0
9,1,Mesut Özil,Arsenal,Midfielder,10,0
10,1,Mesut Özil,Arsenal,Midfielder,11,0
11,1,Mesut Özil,Arsenal,Midfielder,12,0
12,1,Mesut Özil,Arsenal,Midfielder,13,0
13,1,Mesut Özil,Arsenal,Midfielder,14,0
14,1,Mesut Özil,Arsenal,Midfielder,15,0
15,1,Mesut Özil,Arsenal,Midfielder,16,0
16,1,Mesut Özil,Arsenal,Midfielder,17,0
17,1,Mesut Özil,Arsenal,Midfielder,18,0
18,1,Mesut Özil,Arsenal,Midfielder,19,0
19,1,Mesut Özil,Arsenal,Midfielder,20,0
20,1,Mesut Özil,Arsenal,Midfielder,21,0
21,1,Mesut Özil,Arsenal,Midfielder,22,0
22,1,Mesut Özil,Arsenal,Midfielder,23,0
23,1,Mesut Özil,Arsenal,Midfielder,24,0
24,1,Mesut Özil,Arsenal,Midfielder,25,0
25,1,Mesut Özil,Arsenal,Midfielder,26,0
26,1,Mesut Özil,Arsenal,Midfielder,27,0
27,1,Mesut Özil,Arsenal,Midfielder,28,0
28,1,Mesut Özil,Arsenal,Midfielder,29,0
29,1,Mesut Özil,Arsenal,Midfielder,30,0
30,1,Mesut Özil,Arsenal,Midfielder,31,0
31,1,Mesut Özil,Arsenal,Midfielder,32,0
32,2,Sokratis Papastathopoulos,Arsenal,Defender,1,0
33,2,Sokratis Papastathopoulos,Arsenal,Defender,2,0
34,2,Sokratis Papastathopoulos,Arsenal,Defender,3,0
35,2,Sokratis Papastathopoulos,Arsenal,Defender,4,0
36,2,Sokratis Papastathopoulos,Arsenal,Defender,5,0
37,2,Sokratis Papastathopoulos,Arsenal,Defender,6,0
38,2,Sokratis Papastathopoulos,Arsenal,Defender,7,0
39,2,Sokratis Papastathopoulos,Arsenal,Defender,8,0
40,2,Sokratis Papastathopoulos,Arsenal,Defender,9,0
41,2,Sokratis Papastathopoulos,Arsenal,Defender,10,0
42,2,Sokratis Papastathopoulos,Arsenal,Defender,11,0
43,2,Sokratis Papastathopoulos,Arsenal,Defender,12,0
44,2,Sokratis Papastathopoulos,Arsenal,Defender,13,0
45,2,Sokratis Papastathopoulos,Arsenal,Defender,14,0
46,2,Sokratis Papastathopoulos,Arsenal,Defender,15,0
47,2,Sokratis Papastathopoulos,Arsenal,Defender,16,0
48,2,Sokratis Papastathopoulos,Arsenal,Defender,17,0
49,2,Sokratis Papastathopoulos,Arsenal,Defender,18,0
50,2,Sokratis Papastathopoulos,Arsenal,Defender,19,0
51,2,Sokratis Papastathopoulos,Arsenal,Defender,20,0
52,2,Sokratis Papastathopoulos,Arsenal,Defender,21,0
53,2,Sokratis Papastathopoulos,Arsenal,Defender,22,0
54,2,Sokratis Papastathopoulos,Arsenal,Defender,23,0
55,2,Sokratis Papastathopoulos,Arsenal,Defender,24,0
56,2,Sokratis Papastathopoulos,Arsenal,Defender,25,0
57,2,Sokratis Papastathopoulos,Arsenal,Defender,26,0
58,2,Sokratis Papastathopoulos,Arsenal,Defender,27,0
59,2,Sokratis Papastathopoulos,Arsenal,Defender,28,0
60,2,Sokratis Papastathopoulos,Arsenal,Defender,29,0
61,2,Sokratis Papastathopoulos,Arsenal,Defender,30,0
62,2,Sokratis Papastathopoulos,Arsenal,Defender,31,0
63,2,Sokratis Papastathopoulos,Arsenal,Defender,32,0
64,3,David Luiz Moreira Marinho,Arsenal,Defender,1,0
65,3,David Luiz Moreira Marinho,Arsenal,Defender,2,1
66,3,David Luiz Moreira Marinho,Arsenal,Defender,3,1
67,3,David Luiz Moreira Marinho,Arsenal,Defender,4,2
68,3,David Luiz Moreira Marinho,Arsenal,Defender,5,2
69,3,David Luiz Moreira Marinho,Arsenal,Defender,6,1
70,3,David Luiz Moreira Marinho,Arsenal,Defender,7,0
71,3,David Luiz Moreira Marinho,Arsenal,Defender,8,0
72,3,David Luiz Moreira Marinho,Arsenal,Defender,9,0
73,3,David Luiz Moreira Marinho,Arsenal,Defender,10,0
74,3,David Luiz Moreira Marinho,Arsenal,Defender,11,0
75,3,David Luiz Moreira Marinho,Arsenal,Defender,12,0
76,3,David Luiz Moreira Marinho,Arsenal,Defender,13,1
